time,stabilizer.thrust,
275521,58852.0,
275621,54926.0,
275721,33898.0,
275821,37074.0,
275921,21719.0,
276021,35816.0,
276121,59875.0,
276221,60971.0,
276321,64476.0,
276421,8760.0,
276521,12369.0,
276621,5767.0,
276721,42662.0,
276821,12805.0,
276921,55693.0,
277021,823.0,
277121,37582.0,
277221,49438.0,
277321,29206.0,
277421,5900.0,
277521,18554.0,
277621,19828.0,
277721,43705.0,
277821,2797.0,
277921,54531.0,
278021,34123.0,
278121,61414.0,
278221,1861.0,
278321,28188.0,
278421,40340.0,
278521,36519.0,
278621,18386.0,
278721,6388.0,
278821,25845.0,
278921,43428.0,
279021,21692.0,
279121,11708.0,
279221,54845.0,
279321,48863.0,
279421,52323.0,
279521,19505.0,
279621,17978.0,
279721,5434.0,
279821,35572.0,
279921,54461.0,
280021,23948.0,
280121,61278.0,
280221,53289.0,
280321,4454.0,
280421,29620.0,
280521,12169.0,
280621,53706.0,
280721,32973.0,
280821,49331.0,
280921,18292.0,
281021,32350.0,
281121,3238.0,
281221,56901.0,
281321,21319.0,
281421,47671.0,
281521,42398.0,
281621,2047.0,
281721,60506.0,
281821,4424.0,
281921,18814.0,
282021,13919.0,
282121,12526.0,
282221,22608.0,
282321,10266.0,
282421,10396.0,
282521,57449.0,
282621,45749.0,
282721,10072.0,
282821,38712.0,
282921,51237.0,
283021,52887.0,
283121,63982.0,
283221,45555.0,
283321,7023.0,
283421,40926.0,
283521,60399.0,
283621,21772.0,
283721,21942.0,
283821,10999.0,
283921,44592.0,
